,beta_2_microglobulin,c_erb_b_2_her2_3b5,c_erb_b_2_her2_d8f12,caveolin_1,cd11c,cd134,cd140b_pdgf_receptor_beta,cd15,cd16,cd163,cd20,cd278_icos,cd279_pd_1,cd3,cd31_v_wf,cd38,cd4,cd45,cd45ra,cd57,cd68,cd8a,cleaved_caspase3,cxcl12_sdf_1,cytokeratin_5,cytokeratin_8_18,dna1,dna2,estrogen_receptor_alpha,foxp3,fsp1,gitr_tnfrsf18,histone_h3,hla_abc,hla_dr,ki_67,pan_cytokeratin,podoplanin,sma
cd68,0.7717014514327489,0.6958629441000705,0.39125242358445916,0.8794172405727052,0.6751559032077707,0.44006089594008885,0.4336015200731317,0.7229030476917312,0.5888729822091775,0.7570071954035815,0.6738645794108937,0.646850750108792,0.7717171297040732,0.9102476741350416,0.7263206231657366,0.8831528644039892,0.7522981043495636,0.5913987661032657,0.795086528055805,0.7159059119129271,1.0,0.7917174976879644,0.9014919349497975,0.9375320375226102,0.9101838343238233,0.7626630718516116,0.904221991856049,0.6132231834885747,0.8071342966800001,0.4975279693228491,0.36581438041491443,0.8567404190689253,0.4303988615753079,0.48264351236908326,0.7775642618839469,0.44128106819370794,0.7860551965048962,0.802889368759594,0.8024690280724363
cd8a,0.5216093146192149,0.49435470159053546,0.3877637684858716,0.7492549614746636,0.778956823203458,0.2809547539832908,0.43710841854248056,0.8055244930137899,0.7694028586355122,0.7205888725147378,0.6750308366305549,0.7512861366623849,0.6101416600136897,0.8100185472271665,0.6099575482036422,0.812613924426537,0.6471950008369536,0.6184305990472094,0.8605252352744563,0.5844008392190279,0.7917174976879644,1.0,0.7687868032586113,0.8167344330378095,0.7931581246558017,0.5711927586523711,0.8319862026417767,0.5398688431095885,0.7004352937785011,0.4422671931033826,0.3459393906558342,0.8699279308943033,0.5183485218584529,0.3057835261043517,0.9416167306333344,0.2751244028277704,0.6105831687644245,0.6045806203261476,0.6037423602139174
cleaved_caspase3,0.7640715751442584,0.7299885475502012,0.3414129730383477,0.8128174542790504,0.7265764378955565,0.3555866577191843,0.40475100765556327,0.7266632677101388,0.571568150167154,0.6473051562753869,0.5586026273210779,0.6331188618533934,0.6992355464288093,0.8583899937628529,0.7355089531859165,0.8334222268143628,0.6273666143797916,0.4855089681689739,0.7408250858094684,0.6062108488962851,0.9014919349497975,0.7687868032586113,1.0,0.9545029511528953,0.8193724819848212,0.6835767650655992,0.8679925274098554,0.5564705742041015,0.7067720003574358,0.49046603481714945,0.3559044184017597,0.8122312451526064,0.41951011035741004,0.41871653571574335,0.7667087610671605,0.37183008997086275,0.7212626066696302,0.7785696370258439,0.7784173372433919
cxcl12_sdf_1,0.7725904621572018,0.7383614156783792,0.38965827421668126,0.8779797780266031,0.7161972065228082,0.40668710635387717,0.4361878834651353,0.7540325910267188,0.6405549892292793,0.730938689149084,0.6768864583306489,0.6647702710728762,0.7551003196605343,0.9315689724373473,0.7669383254803134,0.8954814754571825,0.7359891062384477,0.6298808433399681,0.8053646897161627,0.6873213068126823,0.9375320375226102,0.8167344330378095,0.9545029511528953,1.0,0.8958446647699714,0.7642357654811093,0.9375021433263694,0.6263200058637693,0.8042849027177049,0.5397473484932708,0.4270028617040423,0.9012432401688818,0.5485927702672372,0.46893068256277165,0.7937490804148485,0.42356363870862107,0.7937285835922455,0.8079480325237828,0.8075175033575533
cytokeratin_5,0.6779466115306134,0.6084507800269611,0.4181055146461484,0.8425331243935982,0.6885938118893917,0.4158856727989124,0.41907917365201774,0.7359338007767576,0.6815244937329766,0.7470895620650081,0.7119455182468768,0.6615590302797403,0.6804853407863456,0.8847635310943092,0.68841051515767,0.8412307011477561,0.7434159321322634,0.673052713452682,0.7787263717933036,0.6662088603448992,0.9101838343238233,0.7931581246558017,0.8193724819848212,0.8958446647699714,1.0,0.7059478602785542,0.891850876865458,0.5380366668978053,0.7585820226204613,0.5059926776000234,0.4756060062402636,0.8718936361141548,0.5475153565850808,0.44490926949623905,0.7735185486955061,0.38521559391071764,0.6774110571248244,0.7360229319889655,0.7351810279971613
cytokeratin_8_18,0.7794121163670544,0.6780215268179048,0.32229444788422146,0.8285067291607996,0.46590628648936355,0.6085325755342373,0.31482360776081625,0.5394929002182912,0.33110542061247983,0.7263805074497859,0.6323172323200371,0.47585036192773933,0.7454072643735916,0.8166934154197117,0.6129419095475218,0.8184584915069737,0.7754925964817504,0.5388613583532014,0.7059622440137142,0.7317900624332018,0.7626630718516116,0.5711927586523711,0.6835767650655992,0.7642357654811093,0.7059478602785542,1.0,0.7512461978244241,0.5498532169793041,0.7465777647951249,0.5188200446698882,0.36345671841195415,0.703801015887255,0.3725923560156646,0.6072309673667211,0.575821396681061,0.5745070349350362,0.8057162282034721,0.7726153699919205,0.7721184598879279
dna1,0.6907322417956223,0.6527361430241911,0.40826071095326827,0.8682438831817757,0.6936256499875071,0.40163453170423946,0.4286655016240735,0.7650827996717872,0.6692433969515951,0.7430619244370851,0.6946432273313982,0.6584579928708215,0.7554339743704613,0.9338746851834883,0.7292967618076831,0.8898992677060633,0.7593987550757355,0.6791562836575658,0.8316345922357916,0.7011822651182495,0.904221991856049,0.8319862026417767,0.8679925274098554,0.9375021433263694,0.891850876865458,0.7512461978244241,1.0,0.628143431969997,0.8181977623343076,0.5282239629072237,0.4417773070567264,0.8998649906658549,0.589268295197157,0.43908798009386946,0.8080497974500395,0.40748513995344343,0.7654176769992028,0.7867186223162572,0.7861445674460233
dna2,0.5663524399879105,0.5946213700471781,0.33902879701690924,0.5905085087884322,0.39709128511661584,0.341097130187127,0.39284618938596616,0.4732091485589925,0.39208507403997706,0.6377753324096178,0.523876191280424,0.45559307646099945,0.544618712052785,0.6091492542063286,0.499721608799202,0.5880354412837052,0.555883478080656,0.5110546975690828,0.5244086771560454,0.5320414781373518,0.6132231834885747,0.5398688431095885,0.5564705742041015,0.6263200058637693,0.5380366668978053,0.5498532169793041,0.628143431969997,1.0,0.7805434930289528,0.3529260502808634,0.3019526340005249,0.6228819335671609,0.450943414206084,0.39513869306865185,0.4855512563503442,0.41730064877238116,0.6183644578383656,0.45788387806835784,0.45713261558095336
estrogen_receptor_alpha,0.7623709861362968,0.7148801837857787,0.44095391013749474,0.8045111828446629,0.5401244900291648,0.45799367391341217,0.4337750598378366,0.644395638300123,0.537113638639699,0.8038640346269246,0.7199562998152949,0.6224616887715709,0.7058780512172446,0.8127627721125505,0.6665246312774441,0.8126655620357612,0.7483045322010776,0.6671178644612246,0.7502966795207315,0.7154970542410054,0.8071342966800001,0.7004352937785011,0.7067720003574358,0.8042849027177049,0.7585820226204613,0.7465777647951249,0.8181977623343076,0.7805434930289528,1.0,0.5121463990948315,0.43680602448363437,0.7954023469341338,0.5045823763404818,0.4981351307568428,0.6832590283559157,0.46002175659807404,0.7540493241052882,0.6729625753790129,0.6720550815548794
foxp3,0.5167769549548761,0.6594451486148493,0.37409816527666845,0.5377484168451998,0.4255175972114253,0.35291533439816924,0.25682090805359115,0.5885924754006664,0.3764561629001158,0.4056920395555114,0.43501522548332794,0.4094952909149392,0.4316802605949245,0.5588435069392232,0.6776997386894847,0.5367732235742467,0.4184924371219512,0.36392517269322194,0.5116591260933961,0.44978650641427687,0.4975279693228491,0.4422671931033826,0.49046603481714945,0.5397473484932708,0.5059926776000234,0.5188200446698882,0.5282239629072237,0.3529260502808634,0.5121463990948315,1.0,0.6128262643168358,0.5588352842372901,0.3793204200554097,0.3908211992043637,0.4855239751993241,0.3328166296115678,0.47034441194585985,0.5318716781437886,0.5311755053620467
fsp1,0.3714296467840096,0.4692972041075393,0.35599328591215623,0.4069109652187499,0.3772223125534109,0.24268100117748853,0.21166173314539385,0.48946010829873793,0.4600108009864605,0.3717795311417755,0.40474546991752663,0.36774077009199535,0.2345400947516567,0.4709544261539936,0.4593035527286455,0.3859657536450932,0.44113972402286944,0.4679918801417733,0.36769455035634807,0.25796678831510905,0.36581438041491443,0.3459393906558342,0.3559044184017597,0.4270028617040423,0.4756060062402636,0.36345671841195415,0.4417773070567264,0.3019526340005249,0.43680602448363437,0.6128262643168358,1.0,0.46830403116763625,0.5324421131073405,0.23445530263288877,0.3304079293216816,0.17610159184197693,0.29276113955860994,0.3270552964119233,0.3261700734043958
gitr_tnfrsf18,0.6623059536737048,0.6454759527022034,0.41751491848048067,0.8379980285892319,0.7305670374054427,0.42117327768106383,0.47443965312903474,0.803334065904956,0.7270297413091225,0.7776409032194574,0.7562209564668464,0.7390088995166046,0.7247642311027537,0.9001879294930878,0.7134705058214272,0.8840526629298122,0.748309782264411,0.6992347313504835,0.8500424889543402,0.6986787040949834,0.8567404190689253,0.8699279308943033,0.8122312451526064,0.9012432401688818,0.8718936361141548,0.703801015887255,0.8998649906658549,0.6228819335671609,0.7954023469341338,0.5588352842372901,0.46830403116763625,1.0,0.6141437904845958,0.467869138935075,0.8421353421977497,0.42898654659284374,0.7379452942202017,0.6956224240753042,0.6945825519419151
histone_h3,0.3048260008547535,0.3145768787570391,0.28239384668604434,0.4437827353585113,0.3906126829903282,0.06079811870333265,0.24500862514685645,0.4509982881557193,0.6768800815413947,0.4306230560606677,0.43699785556488435,0.3816222971388413,0.27969387575916904,0.5734298849546909,0.46019582376640145,0.43996984689652635,0.4794695014771197,0.8328807031584825,0.46787498832070673,0.3240292701818637,0.4303988615753079,0.5183485218584529,0.41951011035741004,0.5485927702672372,0.5475153565850808,0.3725923560156646,0.589268295197157,0.450943414206084,0.5045823763404818,0.3793204200554097,0.5324421131073405,0.6141437904845958,1.0,0.16297089577048066,0.4428136551750012,0.10781847702255244,0.4008357069992394,0.2897148322619748,0.2886042161244908
